word,pos,neg,rat
도저히,1414.9108226122626,4140.505418955242,2.926336665734793
독해,314.33462432849984,901.6766007708948,2.868524594441702
된다,18929.34026343049,29392.258932039145,1.5527355165579606
두껍,4294.78988165615,2856.2792785789807,1.503630934784794
득템,1071.1731641327501,73.95429609635909,14.484258801369162
딱,72976.60777366861,54337.27589820521,1.3430302967410825
똥,5487.692049375659,7915.660169822475,1.4424388428871566
똥망,188.60185668329694,498.6485348334974,2.6439216644130683
마세요,7203.3781980511,57561.38456698072,7.990887467571001
마시고,3301.73724882314,3793.3415544482104,1.1488926188176531
만점,1675.815315501038,857.2249220266659,1.9549306983971564
만족,190141.646908589,57694.88951610128,3.295641061164091
말고,16148.446728597271,17369.996171909555,1.075645011798506
맘에듬,815.139036723223,127.95178037308864,6.370673658048345
맘에듭,2737.7779588537446,691.5080527199433,3.9591411091817448
맙시다,223.15535702712708,1425.164915804977,6.386424842275832
맛이갔,161.31086976078802,333.4295527441515,2.066999906693223
망가져,3543.028136265785,4680.809579836689,1.3211324888800013
매끈,852.4672896989929,500.3653005457532,1.7036898617254208
매력,1397.520936977543,375.4917110890357,3.7218423089136214
매우,38812.99693216022,24258.520202865595,1.5999738074532404
먹통,3449.8008173728513,15769.533153070932,4.571143085611535
모르겠,49949.78480257146,66420.28836798423,1.3297412317292878
모르겠지만,13667.824780096857,15849.09211746356,1.1595914033477424
모르고,4559.244927275219,4620.706972817642,1.0134807509846055
못,102081.52755096111,193250.11531089863,1.8930958415999837
못쓰,5561.956347801759,15854.425708233895,2.850512430666596
못씁,156.04783996647166,491.21153851400175,3.1478265807430796
무거워,6033.479017922615,6012.843413163146,1.003431921196267
무겁,13107.026679928695,8429.210653455626,1.5549530340133757
무결점,4197.6043097580105,5554.365336190935,1.323222706646959
무난,22031.265252351302,10706.765320065362,2.0576957273045755
무료,6996.449116894777,2710.6587453011134,2.5810881318140906
무리,21182.006328723724,25549.182193499637,1.206173853269689
무서,1872.4749759991628,4754.838691319688,2.5393336371731645
무서워,1313.466195905777,3655.0215157806233,2.782729793255235
무섭,1050.0078769541346,2012.8415901735093,1.9169776097417146
무슨,6702.665788546544,20974.357980053017,3.129256126106394
무시,2397.3750832650558,2925.7234580987138,1.2203861959364677
문의,8047.279481640486,21819.255532647087,2.7113828446528743
문제,74498.30404341705,95198.52848664214,1.2778616870413742
문제없고,1917.3687255534442,922.8125655927831,2.0777444922651136
문제없는,1685.653237866684,1861.666743229014,1.1044185728169618
문제없이,9181.838199365458,3315.058044131499,2.7697367820209546
미치,1375.4770847909138,3657.9207103616204,2.6593832429550512
미친,1571.908987174336,3164.647239492906,2.013250935845641
민감,6121.970664374,8626.148501293008,1.4090476701385946
믿을,2950.7715144095587,2342.44969685806,1.2596947197489208
믿음,2840.7356374008627,1160.9064894928347,2.446997809997509
바랍니다,7498.582201093319,12399.18369504702,1.6535370770809417
바보,1003.955796915424,1716.244447652234,1.7094820836985665
반신반의,1683.1819994853474,599.651472426524,2.806933822198843
반품,24067.733559359454,86125.34592298632,3.57845684599138
발열,16974.43693027053,15208.761619359728,1.1160959291164916
방치,1141.1880188154148,3017.2335120175535,2.6439407549594907
버려,7419.969737811126,20642.94786503744,2.782079792029861
버려서,4388.808150927788,11923.875536797732,2.7168823805335487
버렸,7524.043268012746,31005.272001135963,4.120825850769608
버렸어요,1750.397544276429,5532.274478461858,3.160581718451144
버리고,4274.99030999227,13913.601196546959,3.2546509319624906
버린,1581.4149808622924,5436.151486749774,3.4375237066400017
버릴,2862.1293035527115,7549.408755814471,2.6376896202570306
번창,5110.789128585469,976.0199178679919,5.236357409333844
베스트,809.4380770326443,339.54182685214084,2.3839127112464045
별로,42634.39934413238,74641.54737135315,1.7507352869889983
별문제,2506.4644846162473,1903.7892281643556,1.3165661658002943
병행,1112.7572356079536,1656.7690781941055,1.488886367284713
보다,171049.33466327883,109519.23257214249,1.5618200625228564
보단,11422.329266853596,7281.405446531214,1.5686984265235602
보상,610.3723918165222,2227.6052440534045,3.6495838834123124
복구,1708.7554423793415,4857.785930586523,2.842879566090711
부드,29945.605202003382,14696.280284109498,2.0376316063039686
부서,3799.7953312423506,8528.63633191331,2.2444988712391667
부셔,1174.8157518232888,4094.5294205662963,3.485252401673773
부실,4136.575208577551,6058.014470086282,1.4645000186445198
부족,16108.821754505518,12663.740175409164,1.2720429771439972
분노,268.7713378251604,796.0253821241378,2.9617197598724743
분실,2152.6551308255584,2703.2730577413377,1.2557854804659832
불가,8270.516634322383,19279.92972394358,2.3311638893188946
불꽃,661.3753251977346,2309.7263418803227,3.4923080040667873
불량,37934.72235980214,111657.05153865124,2.943399729662174
불안,15362.649842777342,21574.00487621687,1.4043153425357644
불안정,3048.3296713890936,6265.480905222387,2.0553816616453005
불쾌,1081.485815630909,3657.3257935611773,3.381760297454844
불편,73164.66094470673,71753.80129865477,1.0196625073587344
불행,133.5810783821092,299.9733698553397,2.24562770033391
비싸,17402.423777713237,13792.544755851635,1.261726830382774
비싼,18778.911587499857,21413.10324396847,1.1402739261109285
비추,16505.064225276357,45246.1868444283,2.741351758882399
비추천,2856.242460177528,7595.910647250778,2.6594068091749676
빠르,79731.40026429386,26117.731225765157,3.0527690010700006
빠른,36309.286647693276,17276.026114767516,2.1017151980718625
빠름,5534.269174633872,2881.0236422950934,1.9209384794305746
빡치,584.9342391280936,2687.069960658707,4.593798380932648
빵빵,7301.97400040478,2260.5855005547996,3.230125115202547
뽁뽁이,7917.5779835946005,11827.425531075587,1.493818634383176
뽑기,11551.354297040585,26151.590549531953,2.2639415151721125
삐걱,2534.93442880897,7412.8365111891435,2.924271502625036
사고,12650.165716050766,15083.45612630641,1.1923524533096226
사기꾼,5.726391510133099,773.1798029556649,135.0204228243021
사랑,1953.757669654477,912.4369025661414,2.14125235855731
사세,18736.146147257045,32987.87904074905,1.7606544473703547
사지,6718.999199759519,55580.55486507107,8.272147862000098
살걸,7836.555630197624,11021.206758126677,1.4063840388827484
살짝,34284.91034788783,25317.521868650652,1.3541969283471231
상술,134.8966171907114,398.9672969519663,2.9575782199780627
새로운,2407.6877265338785,2341.1354018787088,1.0284273710105631
서비스,6320.813584136103,10099.79020089906,1.597862374275265
선명,10915.796534298755,5626.191649010198,1.9401750269596922
선물,13365.15448330634,4931.72105261879,2.710038613438876
성능,60200.13052865899,30395.578771162265,1.9805554940040728
세련,2840.4650652190767,651.6972502973006,4.358565367466677
소음,51356.879815428554,36811.925070284284,1.3951152980283936
속았,152.68431564075775,1041.6062017019874,6.821959395965225
속은,587.4686564315746,831.7329209351911,1.4157911436285575
속터,642.976397612549,1665.6204215760306,2.5904845461834767
손상,2817.0991200702633,5886.787327536048,2.08966283280413
솔직히,11783.584411393953,11575.037789174345,1.0180169279805422
수리,3370.626036386564,8050.959254362506,2.3885649631406256
수명,3516.471083240875,5242.057192170859,1.490715284750653
쉬운,19119.70752075107,10503.060394160404,1.8203939426437494
쉬워,9669.599354176724,4366.637505428854,2.2144268541079777
쉽고,11197.43231494379,3457.5460552332647,3.2385489986447484
스크래치,3957.4966617552855,7408.535009876458,1.8720255866471203
스트레스,3077.8104799585167,8383.096405655624,2.7237207944553536
시끄,10336.992195548406,7963.226809777307,1.2980908923574264
